Id1,Name1,Id2,Name2,IdSong,NameSong,SongLengthMS
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez,6vXTefBL93Dj5IqAWq6OTv,French Montana,5WPawmpYBLjBbUjXoixxdQ,Medicine,174159
2mV8aJphiSHYJf43DxL7Gt,Chromeo,6vXTefBL93Dj5IqAWq6OTv,French Montana,2mYyIUKl0QomqikXpZJp8P,Don't Sleep (feat. French Montana & Stefflon Don),198893
2mV8aJphiSHYJf43DxL7Gt,Chromeo,2ExGrw6XpbtUAJHTLtUXUD,Stefflon Don,2mYyIUKl0QomqikXpZJp8P,Don't Sleep (feat. French Montana & Stefflon Don),198893
6vXTefBL93Dj5IqAWq6OTv,French Montana,2ExGrw6XpbtUAJHTLtUXUD,Stefflon Don,2mYyIUKl0QomqikXpZJp8P,Don't Sleep (feat. French Montana & Stefflon Don),198893
0JOxt5QOwq0czoJxvSc5hS,GASHI,6vXTefBL93Dj5IqAWq6OTv,French Montana,1MUL6DO2gVimj2YrVedubd,Creep On Me,194777
0JOxt5QOwq0czoJxvSc5hS,GASHI,540vIaP2JwjQb9dm3aArA4,DJ Snake,1MUL6DO2gVimj2YrVedubd,Creep On Me,194777
6vXTefBL93Dj5IqAWq6OTv,French Montana,540vIaP2JwjQb9dm3aArA4,DJ Snake,1MUL6DO2gVimj2YrVedubd,Creep On Me,194777
5fMUXHkw8R8eOP2RNVYEZX,Diplo,6vXTefBL93Dj5IqAWq6OTv,French Montana,7LZNlFc0NH8RQBHUjYOW3n,Welcome to the Party (feat. Zhavia Ward) - Valentino Khan Remix,165173
5fMUXHkw8R8eOP2RNVYEZX,Diplo,3wyVrVrFCkukjdVIdirGVY,Lil Pump,7LZNlFc0NH8RQBHUjYOW3n,Welcome to the Party (feat. Zhavia Ward) - Valentino Khan Remix,165173
5fMUXHkw8R8eOP2RNVYEZX,Diplo,1CO6e7WRJvSFenmQO8n64C,Zhavia Ward,7LZNlFc0NH8RQBHUjYOW3n,Welcome to the Party (feat. Zhavia Ward) - Valentino Khan Remix,165173
5fMUXHkw8R8eOP2RNVYEZX,Diplo,0deIjoDjl9g9Zpw0sCIOHh,Valentino Khan,7LZNlFc0NH8RQBHUjYOW3n,Welcome to the Party (feat. Zhavia Ward) - Valentino Khan Remix,165173
6vXTefBL93Dj5IqAWq6OTv,French Montana,3wyVrVrFCkukjdVIdirGVY,Lil Pump,7LZNlFc0NH8RQBHUjYOW3n,Welcome to the Party (feat. Zhavia Ward) - Valentino Khan Remix,165173
6vXTefBL93Dj5IqAWq6OTv,French Montana,1CO6e7WRJvSFenmQO8n64C,Zhavia Ward,7LZNlFc0NH8RQBHUjYOW3n,Welcome to the Party (feat. Zhavia Ward) - Valentino Khan Remix,165173
6vXTefBL93Dj5IqAWq6OTv,French Montana,0deIjoDjl9g9Zpw0sCIOHh,Valentino Khan,7LZNlFc0NH8RQBHUjYOW3n,Welcome to the Party (feat. Zhavia Ward) - Valentino Khan Remix,165173
3wyVrVrFCkukjdVIdirGVY,Lil Pump,1CO6e7WRJvSFenmQO8n64C,Zhavia Ward,7LZNlFc0NH8RQBHUjYOW3n,Welcome to the Party (feat. Zhavia Ward) - Valentino Khan Remix,165173
3wyVrVrFCkukjdVIdirGVY,Lil Pump,0deIjoDjl9g9Zpw0sCIOHh,Valentino Khan,7LZNlFc0NH8RQBHUjYOW3n,Welcome to the Party (feat. Zhavia Ward) - Valentino Khan Remix,165173
